,Title,Awards,Year,is_winner,Channel
110,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,False,FX
111,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,False,FX
112,american horror story: hotel,"Supporting Actress, TV Movie/Limited Series",2016,False,
113,the night manager,"Supporting Actress, TV Movie/Limited Series",2016,False,AMC
114,american crime,"Supporting Actress, TV Movie/Limited Series",2016,False,ABC
115,all the way,"Supporting Actress, TV Movie/Limited Series",2016,False,HBO
116,american horror story: hotel,"Supporting Actress, TV Movie/Limited Series",2016,False,
117,fargo,"Supporting Actress, TV Movie/Limited Series",2016,False,FX
118,fargo,Writing for a TV Movie/Limited Series,2016,False,FX
119,fargo,Writing for a TV Movie/Limited Series,2016,False,FX
120,the night manager,Writing for a TV Movie/Limited Series,2016,False,AMC
121,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,False,FX
122,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,False,FX
123,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,False,FX
124,the amazing race,Reality Competition Series,2016,False,CBS
125,american ninja warrior,Reality Competition Series,2016,False,NBC
126,dancing with the stars,Reality Competition Series,2016,False,ABC
127,project runway,Reality Competition Series,2016,False,Lifetime
128,top chef,Reality Competition Series,2016,False,Bravo
129,the voice,Reality Competition Series,2016,True,NBC
130,black-ish,"Lead Actor, Comedy",2016,False,ABC
131,master of none,"Lead Actor, Comedy",2016,False,Netflix
132,the last man on earth,"Lead Actor, Comedy",2016,False,Fox
133,shameless,"Lead Actor, Comedy",2016,False,Showtime
134,silicon valley,"Lead Actor, Comedy",2016,False,HBO
135,transparent,"Lead Actor, Comedy",2016,False,Amazon Studios
136,unbreakable kimmy schmidt,"Lead Actress, Comedy",2016,False,Netflix
137,veep,"Lead Actress, Comedy",2016,False,HBO
138,getting on,"Lead Actress, Comedy",2016,False,HBO
139,black-ish,"Lead Actress, Comedy",2016,False,ABC
140,inside amy schumer,"Lead Actress, Comedy",2016,False,Comedy Central
141,grace and frankie,"Lead Actress, Comedy",2016,False,Netflix
142,master of none,Directing for a Comedy Series,2016,False,Netflix
143,silicon valley,Directing for a Comedy Series,2016,False,HBO
144,silicon valley,Directing for a Comedy Series,2016,False,HBO
145,transparent,Directing for a Comedy Series,2016,False,Amazon Studios
146,veep,Directing for a Comedy Series,2016,False,HBO
147,veep,Directing for a Comedy Series,2016,False,HBO
148,veep,Directing for a Comedy Series,2016,False,HBO
149,veep,"Supporting Actress, Comedy",2016,False,HBO
150,transparent,"Supporting Actress, Comedy",2016,False,Amazon Studios
151,mom,"Supporting Actress, Comedy",2016,False,CBS
152,transparent,"Supporting Actress, Comedy",2016,False,Amazon Studios
153,saturday night live,"Supporting Actress, Comedy",2016,False,NBC
154,getting on,"Supporting Actress, Comedy",2016,False,HBO
155,catastrophe,Writing for a Comedy Series,2016,False,Amazon Studios
157,master of none,Writing for a Comedy Series,2016,False,Netflix
158,silicon valley,Writing for a Comedy Series,2016,False,HBO
159,silicon valley,Writing for a Comedy Series,2016,False,HBO
160,veep,Writing for a Comedy Series,2016,False,HBO
161,veep,Writing for a Comedy Series,2016,False,HBO
162,baskets,"Supporting Actor, Comedy",2016,False,FX
163,brooklyn nine-nine,"Supporting Actor, Comedy",2016,False,NBC
164,unbreakable kimmy schmidt,"Supporting Actor, Comedy",2016,False,Netflix
165,modern family,"Supporting Actor, Comedy",2016,False,ABC
166,veep,"Supporting Actor, Comedy",2016,False,HBO
167,key & peele,"Supporting Actor, Comedy",2016,False,Comedy Central
168,veep,"Supporting Actor, Comedy",2016,False,HBO
0,better call saul,Drama Series,2017,False,Netflix
1,the crown,Drama Series,2017,False,Netflix
2,the handmaid’s tale,Drama Series,2017,True,
3,house of cards,Drama Series,2017,False,Netflix
4,stranger things,Drama Series,2017,False,Netflix
5,this is us,Drama Series,2017,False,ABC
6,westworld,Drama Series,2017,False,HBO
7,how to get away with murder,"Lead Actress, Drama",2017,False,ABC
8,the crown,"Lead Actress, Drama",2017,False,Netflix
9,the handmaid’s tale,"Lead Actress, Drama",2017,True,
10,the americans,"Lead Actress, Drama",2017,False,FX
11,westworld,"Lead Actress, Drama",2017,False,HBO
12,house of cards,"Lead Actress, Drama",2017,False,Netflix
13,this is us,"Lead Actor, Drama",2017,True,ABC
14,westworld,"Lead Actor, Drama",2017,False,HBO
15,better call saul,"Lead Actor, Drama",2017,False,Netflix
16,the americans,"Lead Actor, Drama",2017,False,FX
17,ray donovan,"Lead Actor, Drama",2017,False,Showtime
18,house of cards,"Lead Actor, Drama",2017,False,Netflix
19,this is us,"Lead Actor, Drama",2017,False,ABC
20,big little lies,Limited Series,2017,False,HBO
21,fargo,Limited Series,2017,False,FX
22,feud: bette and joan,Limited Series,2017,False,FX
23,genius,Limited Series,2017,False,National Geographic
24,the night of,Limited Series,2017,False,HBO
25,black mirror:,TV Movie,2017,True,
26,dolly parton’s christmas of many colors,TV Movie,2017,False,NBC
27,the immortal life of henrietta lacks,TV Movie,2017,False,HBO
28,sherlock:,TV Movie,2017,False,
29,the wizard of lies,TV Movie,2017,False,HBO
30,fargo,"Lead Actress, TV Movie/Limited Series",2017,False,FX
31,american crime,"Lead Actress, TV Movie/Limited Series",2017,False,ABC
32,big little lies,"Lead Actress, TV Movie/Limited Series",2017,True,HBO
33,feud: bette and joan,"Lead Actress, TV Movie/Limited Series",2017,False,FX
34,feud: bette and joan,"Lead Actress, TV Movie/Limited Series",2017,False,FX
35,big little lies,"Lead Actress, TV Movie/Limited Series",2017,False,HBO
36,the night of,"Lead Actor, TV Movie/Limited Series",2017,True,HBO
37,sherlock:,"Lead Actor, TV Movie/Limited Series",2017,False,
38,the wizard of lies,"Lead Actor, TV Movie/Limited Series",2017,False,HBO
39,fargo,"Lead Actor, TV Movie/Limited Series",2017,False,FX
40,genius,"Lead Actor, TV Movie/Limited Series",2017,False,National Geographic
41,the night of,"Lead Actor, TV Movie/Limited Series",2017,False,HBO
42,atlanta,Comedy Series,2017,False,FX
43,black-ish,Comedy Series,2017,False,ABC
44,master of none,Comedy Series,2017,False,Netflix
45,modern family,Comedy Series,2017,False,ABC
46,silicon valley,Comedy Series,2017,False,HBO
47,unbreakable kimmy schmidt,Comedy Series,2017,False,Netflix
48,veep,Comedy Series,2017,True,HBO
49,better things,"Lead Actress, Comedy",2017,False,FX
50,grace and frankie,"Lead Actress, Comedy",2017,False,Netflix
51,mom,"Lead Actress, Comedy",2017,False,CBS
52,unbreakable kimmy schmidt,"Lead Actress, Comedy",2017,False,Netflix
53,veep,"Lead Actress, Comedy",2017,True,HBO
54,black-ish,"Lead Actress, Comedy",2017,False,ABC
55,grace and frankie,"Lead Actress, Comedy",2017,False,Netflix
56,black-ish,"Lead Actor, Comedy",2017,False,ABC
57,master of none,"Lead Actor, Comedy",2017,False,Netflix
58,baskets,"Lead Actor, Comedy",2017,False,FX
59,atlanta,"Lead Actor, Comedy",2017,True,FX
60,shameless,"Lead Actor, Comedy",2017,False,Showtime
61,transparent,"Lead Actor, Comedy",2017,False,Amazon Studios
62,full frontal with samantha bee,Variety Talk Series,2017,False,TBS
63,jimmy kimmel live!,Variety Talk Series,2017,False,ABC
