index,title,channel,no,imdb,rotten_tomatoes
146,orange is the new black,Netflix,1,8.1,
147,tig notaro: boyish girl interrupted,HBO,1,,9
148,patton oswalt: talking for clapping,Netflix,1,,1
149,the immortal life of henrietta lacks,HBO,1,,8.6
150,the tonight show starring jimmy fallon,NBC,1,7.3,6.9
151,late night with seth meyers,NBC,1,6.1,
152,paterno,HBO,1,,
153,dolly parton’s christmas of many colors,NBC,1,,7
154,adele live in new york city,NBC,1,,5.7
155,catastrophe,Amazon Studios,1,8.2,
156,the mandalorian,Disney+,1,8.7,9.8
157,the sinner,USA,1,8,9.3
158,documentary now,IFC,1,,9.5
159,empire,Fox,1,7.4,9.4
160,brexit,HBO,1,,8.4
161,roots,A&E,1,7.9,8
162,comedians in cars getting coffee,Netflix,1,8.1,9.6
163,true detective,HBO,1,,
164,58th grammy awards,CBS,1,,7.8
165,lady day at emerson’s bar and grill,HBO,1,,
166,patton oswalt: annihilation,Netflix,1,,
167,billy on the street,truTV,1,7.7,1
168,i love you america with sarah silverman,Hulu,1,,
169,bad education,HBO,1,7.4,9.3
170,pen15,Hulu,1,7.9,9.4
171,the knick,Cinemax,1,,9.3
172,jerry seinfeld: jerry before seinfeld,Netflix,1,,9.2
,,,,,9.5
