index,title,awards,year,is_winner,channel
98,the people v. o.j. simpson: american crime story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
99,the people v. o.j. simpson: american crime story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
100,fargo,"Supporting Actor, TV Movie/Limited Series",2016,FALSE,FX
101,all the way,Directing for a TV Movie/Limited Series,2016,FALSE,HBO
102,fargo,Directing for a TV Movie/Limited Series,2016,FALSE,FX
103,the night manager,Directing for a TV Movie/Limited Series,2016,FALSE,AMC
104,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,FALSE,FX
105,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,FALSE,FX
106,the people v. o.j. simpson: american crime story,Directing for a TV Movie/Limited Series,2016,FALSE,FX
107,american horror story: hotel,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,
108,the night manager,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,AMC
109,american crime,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,ABC
110,all the way,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,HBO
111,american horror story: hotel,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,
112,fargo,"Supporting Actress, TV Movie/Limited Series",2016,FALSE,FX
113,fargo,Writing for a TV Movie/Limited Series,2016,FALSE,FX
114,fargo,Writing for a TV Movie/Limited Series,2016,FALSE,FX
115,the night manager,Writing for a TV Movie/Limited Series,2016,FALSE,AMC
116,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,FALSE,FX
117,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,FALSE,FX
118,the people v. o.j. simpson: american crime story,Writing for a TV Movie/Limited Series,2016,FALSE,FX
119,the amazing race,Reality Competition Series,2016,FALSE,CBS
120,american ninja warrior,Reality Competition Series,2016,FALSE,NBC
121,dancing with the stars,Reality Competition Series,2016,FALSE,ABC
122,project runway,Reality Competition Series,2016,FALSE,Lifetime
123,top chef,Reality Competition Series,2016,FALSE,Bravo
124,the voice,Reality Competition Series,2016,TRUE,NBC
125,black-ish,"Lead Actor, Comedy",2016,FALSE,ABC
126,master of none,"Lead Actor, Comedy",2016,FALSE,Netflix
127,the last man on earth,"Lead Actor, Comedy",2016,FALSE,Fox
128,shameless,"Lead Actor, Comedy",2016,FALSE,Showtime
129,silicon valley,"Lead Actor, Comedy",2016,FALSE,HBO
130,transparent,"Lead Actor, Comedy",2016,FALSE,Amazon Studios
131,unbreakable kimmy schmidt,"Lead Actress, Comedy",2016,FALSE,Netflix
132,veep,"Lead Actress, Comedy",2016,FALSE,HBO
133,getting on,"Lead Actress, Comedy",2016,FALSE,HBO
134,black-ish,"Lead Actress, Comedy",2016,FALSE,ABC
135,inside amy schumer,"Lead Actress, Comedy",2016,FALSE,Comedy Central
136,grace and frankie,"Lead Actress, Comedy",2016,FALSE,Netflix
137,master of none,Directing for a Comedy Series,2016,FALSE,Netflix
138,silicon valley,Directing for a Comedy Series,2016,FALSE,HBO
139,silicon valley,Directing for a Comedy Series,2016,FALSE,HBO
140,transparent,Directing for a Comedy Series,2016,FALSE,Amazon Studios
141,veep,Directing for a Comedy Series,2016,FALSE,HBO
142,veep,Directing for a Comedy Series,2016,FALSE,HBO
143,veep,Directing for a Comedy Series,2016,FALSE,HBO
144,veep,"Supporting Actress, Comedy",2016,FALSE,HBO
145,transparent,"Supporting Actress, Comedy",2016,FALSE,Amazon Studios
146,mom,"Supporting Actress, Comedy",2016,FALSE,CBS
147,transparent,"Supporting Actress, Comedy",2016,FALSE,Amazon Studios
148,saturday night live,"Supporting Actress, Comedy",2016,FALSE,NBC
149,getting on,"Supporting Actress, Comedy",2016,FALSE,HBO
150,catastrophe,Writing for a Comedy Series,2016,FALSE,Amazon Studios
151,master of none,Writing for a Comedy Series,2016,FALSE,Netflix
152,silicon valley,Writing for a Comedy Series,2016,FALSE,HBO
153,silicon valley,Writing for a Comedy Series,2016,FALSE,HBO
154,veep,Writing for a Comedy Series,2016,FALSE,HBO
155,veep,Writing for a Comedy Series,2016,FALSE,HBO
156,baskets,"Supporting Actor, Comedy",2016,FALSE,FX
157,brooklyn nine-nine,"Supporting Actor, Comedy",2016,FALSE,NBC
158,unbreakable kimmy schmidt,"Supporting Actor, Comedy",2016,FALSE,Netflix
159,modern family,"Supporting Actor, Comedy",2016,FALSE,ABC
160,veep,"Supporting Actor, Comedy",2016,FALSE,HBO
161,key & peele,"Supporting Actor, Comedy",2016,FALSE,Comedy Central
162,veep,"Supporting Actor, Comedy",2016,FALSE,HBO
163,better call saul,Drama Series,2017,FALSE,Netflix
164,the crown,Drama Series,2017,FALSE,Netflix
165,the handmaid’s tale,Drama Series,2017,TRUE,
166,house of cards,Drama Series,2017,FALSE,Netflix
167,stranger things,Drama Series,2017,FALSE,Netflix
168,this is us,Drama Series,2017,FALSE,ABC
169,westworld,Drama Series,2017,FALSE,HBO
170,how to get away with murder,"Lead Actress, Drama",2017,FALSE,ABC
171,the crown,"Lead Actress, Drama",2017,FALSE,Netflix
172,the handmaid’s tale,"Lead Actress, Drama",2017,TRUE,
173,the americans,"Lead Actress, Drama",2017,FALSE,FX
174,westworld,"Lead Actress, Drama",2017,FALSE,HBO
175,house of cards,"Lead Actress, Drama",2017,FALSE,Netflix
176,this is us,"Lead Actor, Drama",2017,TRUE,ABC
177,westworld,"Lead Actor, Drama",2017,FALSE,HBO
178,better call saul,"Lead Actor, Drama",2017,FALSE,Netflix
179,the americans,"Lead Actor, Drama",2017,FALSE,FX
180,ray donovan,"Lead Actor, Drama",2017,FALSE,Showtime
181,house of cards,"Lead Actor, Drama",2017,FALSE,Netflix
182,this is us,"Lead Actor, Drama",2017,FALSE,ABC
183,big little lies,Limited Series,2017,FALSE,HBO
184,fargo,Limited Series,2017,FALSE,FX
185,feud: bette and joan,Limited Series,2017,FALSE,FX
186,genius,Limited Series,2017,FALSE,National Geographic
187,the night of,Limited Series,2017,FALSE,HBO
188,black mirror:,TV Movie,2017,TRUE,
189,dolly parton’s christmas of many colors,TV Movie,2017,FALSE,NBC
190,the immortal life of henrietta lacks,TV Movie,2017,FALSE,HBO
