index,id,label,parents,values
136,netflix-nailedit!,nailed it!,netflix,2
137,showtime-twinpeaks,twin peaks,showtime,2
138,comedycentral-key&peele,key & peele,comedy central,2
139,nbc-brooklynnine-nine,brooklyn nine-nine,nbc,2
140,lifetime-unreal,unreal,lifetime,2
141,hbo-realtimewithbillmaher,real time with bill maher,hbo,2
142,bbc-luther,luther,bbc,2
143,netflix-stevemartin&martinshort:aneveningyouwi...,steve martin & martin short: an evening you wi...,netflix,2
144,hulu-theact,the act,hulu,2
145,hbo-mydinnerwithhervé,my dinner with hervé,hbo,1
146,cbs-thegoodwife,the good wife,cbs,1
147,hulu-triumph’selectionspecial2016,triumph’s election special 2016,hulu,1
148,hbo-michellewolf:nicelady,michelle wolf: nice lady,hbo,1
149,netflix-averymurraychristmas,a very murray christmas,netflix,1
150,hbo-thetale,the tale,hbo,1
151,netflix-sevenseconds,seven seconds,netflix,1
152,netflix-americanvandal,american vandal,netflix,1
153,fox-themaskedsinger,the masked singer,fox,1
154,hbo-iknowthismuchistrue,i know this much is true,hbo,1
155,netflix-davechappelle:equanimity,dave chappelle: equanimity,netflix,1
156,abc-dancingwiththestars,dancing with the stars,abc,1
157,netflix-selfmade,self made,netflix,1
158,paramountnetwork-waco,waco,paramount network,1
159,amazonstudios-kinglear,king lear,amazon studios,1
160,fox-grease:live!,grease: live!,fox,1
161,nbc-law&ordertruecrime:themenendezmurders,law & order true crime: the menendez murders,nbc,1
162,showtime-theaffair,the affair,showtime,1
163,abc-theoscars,the oscars,abc,1
164,hbo-deadwood:themovie,deadwood: the movie,hbo,1
165,cbs-thekennedycenterhonors,the kennedy center honors,cbs,1
166,hbo-euphoria,euphoria,hbo,1
167,nbc-superbowlliihalftimeshowstarringjustint...,super bowl lii halftime show starring justin t...,nbc,1
168,tnt-thealienist,the alienist,tnt,1
169,fox-thelastmanonearth,the last man on earth,fox,1
170,showtime-whoisamerica?,who is america?,showtime,1
171,hulu-loveyouamerica,love you america,hulu,1
172,abc-Roseanne,Roseanne,abc,1
173,hbo-lemonade,lemonade,hbo,1
174,netflix-orangeisthenewblack,orange is the new black,netflix,1
175,hbo-tignotaro:boyishgirlinterrupted,tig notaro: boyish girl interrupted,hbo,1
176,netflix-pattonoswalt:talkingforclapping,patton oswalt: talking for clapping,netflix,1
177,hbo-theimmortallifeofhenriettalacks,the immortal life of henrietta lacks,hbo,1
178,nbc-thetonightshowstarringjimmyfallon,the tonight show starring jimmy fallon,nbc,1
179,nbc-latenightwithsethmeyers,late night with seth meyers,nbc,1
180,hbo-paterno,paterno,hbo,1
181,nbc-dollyparton’schristmasofmanycolors,dolly parton’s christmas of many colors,nbc,1
182,nbc-adeleliveinnewyorkcity,adele live in new york city,nbc,1
183,amazonstudios-catastrophe,catastrophe,amazon studios,1
184,disney+-themandalorian,the mandalorian,disney+,1
185,usa-thesinner,the sinner,usa,1
186,ifc-documentarynow,documentary now,ifc,1
187,fox-empire,empire,fox,1
188,hbo-brexit,brexit,hbo,1
189,a&e-roots,roots,a&e,1
190,netflix-comediansincarsgettingcoffee,comedians in cars getting coffee,netflix,1
191,hbo-truedetective,true detective,hbo,1
192,cbs-58thgrammyawards,58th grammy awards,cbs,1
193,hbo-ladydayatemerson’sbarandgrill,lady day at emerson’s bar and grill,hbo,1
194,netflix-pattonoswalt:annihilation,patton oswalt: annihilation,netflix,1
195,trutv-billyonthestreet,billy on the street,trutv,1
196,hulu-iloveyouamericawithsarahsilverman,i love you america with sarah silverman,hulu,1
197,hbo-badeducation,bad education,hbo,1
198,hulu-pen15,pen15,hulu,1
199,cinemax-theknick,the knick,cinemax,1
200,netflix-jerryseinfeld:jerrybeforeseinfeld,jerry seinfeld: jerry before seinfeld,netflix,1
