,Nominees,Awards,Year,is_winner
0,Better Call Saul,Drama Series,2017,False
1,The Crown,Drama Series,2017,False
2,The Handmaid’s Tale,Drama Series,2017,True
3,House of Cards,Drama Series,2017,False
4,Stranger Things,Drama Series,2017,False
5,This Is Us,Drama Series,2017,False
6,Westworld,Drama Series,2017,False
7,How to Get Away with Murder,"Lead Actress, Drama",2017,False
8,The Crown,"Lead Actress, Drama",2017,False
9,The Handmaid’s Tale,"Lead Actress, Drama",2017,True
10,The Americans,"Lead Actress, Drama",2017,False
11,Westworld,"Lead Actress, Drama",2017,False
12,House of Cards,"Lead Actress, Drama",2017,False
13,This Is Us,"Lead Actor, Drama",2017,True
14,Westworld,"Lead Actor, Drama",2017,False
15,Better Call Saul,"Lead Actor, Drama",2017,False
16,The Americans,"Lead Actor, Drama",2017,False
17,Ray Donovan,"Lead Actor, Drama",2017,False
18,House of Cards,"Lead Actor, Drama",2017,False
19,This Is Us,"Lead Actor, Drama",2017,False
20,Big Little Lies,Limited Series,2017,False
21,Fargo,Limited Series,2017,False
22,Feud: Bette and Joan,Limited Series,2017,False
23,Genius,Limited Series,2017,False
24,The Night Of,Limited Series,2017,False
25,Black Mirror:,TV Movie,2017,True
26,Dolly Parton’s Christmas of Many Colors,TV Movie,2017,False
27,The Immortal Life of Henrietta Lacks,TV Movie,2017,False
28,Sherlock:,TV Movie,2017,False
29,The Wizard of Lies,TV Movie,2017,False
30,Fargo,"Lead Actress, TV Movie/Limited Series",2017,False
31,American Crime,"Lead Actress, TV Movie/Limited Series",2017,False
32,Big Little Lies,"Lead Actress, TV Movie/Limited Series",2017,True
33,Feud: Bette and Joan,"Lead Actress, TV Movie/Limited Series",2017,False
34,Feud: Bette and Joan,"Lead Actress, TV Movie/Limited Series",2017,False
35,Big Little Lies,"Lead Actress, TV Movie/Limited Series",2017,False
36,The Night Of,"Lead Actor, TV Movie/Limited Series",2017,True
37,Sherlock:,"Lead Actor, TV Movie/Limited Series",2017,False
38,The Wizard of Lies,"Lead Actor, TV Movie/Limited Series",2017,False
39,Fargo,"Lead Actor, TV Movie/Limited Series",2017,False
40,Genius,"Lead Actor, TV Movie/Limited Series",2017,False
41,The Night Of,"Lead Actor, TV Movie/Limited Series",2017,False
42,Atlanta,Comedy Series,2017,False
43,Black-ish,Comedy Series,2017,False
44,Master of None,Comedy Series,2017,False
45,Modern Family,Comedy Series,2017,False
46,Silicon Valley,Comedy Series,2017,False
47,Unbreakable Kimmy Schmidt,Comedy Series,2017,False
48,Veep,Comedy Series,2017,True
49,Better Things,"Lead Actress, Comedy",2017,False
50,Grace and Frankie,"Lead Actress, Comedy",2017,False
51,Mom,"Lead Actress, Comedy",2017,False
52,Unbreakable Kimmy Schmidt,"Lead Actress, Comedy",2017,False
53,Veep,"Lead Actress, Comedy",2017,True
54,Black-ish,"Lead Actress, Comedy",2017,False
55,Grace and Frankie,"Lead Actress, Comedy",2017,False
56,Black-ish,"Lead Actor, Comedy",2017,False
57,Master of None,"Lead Actor, Comedy",2017,False
58,Baskets,"Lead Actor, Comedy",2017,False
59,Atlanta,"Lead Actor, Comedy",2017,True
60,Shameless,"Lead Actor, Comedy",2017,False
61,Transparent,"Lead Actor, Comedy",2017,False
62,Full Frontal with Samantha Bee,Variety Talk Series,2017,False
63,Jimmy Kimmel Live!,Variety Talk Series,2017,False
64,Last Week Tonight with John Oliver,Variety Talk Series,2017,True
65,The Late Late Show with James Corden,Variety Talk Series,2017,False
66,The Late Show with Stephen Colbert,Variety Talk Series,2017,False
67,Real Time with Bill Maher,Variety Talk Series,2017,False
68,Drunk History,Directing for a Variety Special,2017,False
