,Nominees,Awards,Year,is_winner
110,U.S.S. Callister (Black Mirror),Writing for a TV Movie/Limited Series,2018,True
111,Godless,"Supporting Actor, TV Movie/Limited Series",2018,True
112,Jesus Christ Superstar Live in Concert,"Supporting Actor, TV Movie/Limited Series",2018,False
113,Waco,"Supporting Actor, TV Movie/Limited Series",2018,False
114,The Assassination of Gianni Versace: American Crime Story,"Supporting Actor, TV Movie/Limited Series",2018,False
115,The Assassination of Gianni Versace: American Crime Story,"Supporting Actor, TV Movie/Limited Series",2018,False
116,The Looming Tower,"Supporting Actor, TV Movie/Limited Series",2018,False
117,The Assassination of Gianni Versace: American Crime Story,"Supporting Actor, TV Movie/Limited Series",2018,False
118,Jesus Christ Superstar Live in Concert,"Supporting Actress, TV Movie/Limited Series",2018,False
119,The Assassination of Gianni Versace: American Crime Story,"Supporting Actress, TV Movie/Limited Series",2018,False
120,The Assassination of Gianni Versace: American Crime Story,"Supporting Actress, TV Movie/Limited Series",2018,False
121,American Horror Story: Cult,"Supporting Actress, TV Movie/Limited Series",2018,False
122,Godless,"Supporting Actress, TV Movie/Limited Series",2018,True
123,Black Museum (Black Mirror),"Supporting Actress, TV Movie/Limited Series",2018,False
124,Black-ish,"Lead Actor, Comedy",2018,False
125,The Good Place,"Lead Actor, Comedy",2018,False
126,Curb Your Enthusiasm,"Lead Actor, Comedy",2018,False
127,Atlanta,"Lead Actor, Comedy",2018,False
128,Barry,"Lead Actor, Comedy",2018,True
129,Shameless,"Lead Actor, Comedy",2018,False
130,Better Things,"Lead Actress, Comedy",2018,False
131,The Marvelous Mrs. Maisel,"Lead Actress, Comedy",2018,True
132,Mom,"Lead Actress, Comedy",2018,False
133,Insecure,"Lead Actress, Comedy",2018,False
134,Black-ish,"Lead Actress, Comedy",2018,False
135,Grace and Frankie,"Lead Actress, Comedy",2018,False
136,Atlanta,Directing for a Comedy,2018,False
137,Atlanta,Directing for a Comedy,2018,False
138,Barry,Directing for a Comedy,2018,False
139,GLOW,Directing for a Comedy,2018,False
140,Silicon Valley,Directing for a Comedy,2018,False
141,The Marvelous Mrs. Maisel,Directing for a Comedy,2018,True
142,The Big Bang Theory,Directing for a Comedy,2018,False
143,Atlanta,Writing for a Comedy Series,2018,False
144,Atlanta,Writing for a Comedy Series,2018,False
145,Barry,Writing for a Comedy Series,2018,False
146,Barry,Writing for a Comedy Series,2018,False
147,Silicon Valley,Writing for a Comedy Series,2018,False
148,The Marvelous Mrs. Maisel,Writing for a Comedy Series,2018,True
149,Atlanta,"Supporting Actress, Comedy",2018,False
150,The Marvelous  Mrs. Maisel,"Supporting Actress, Comedy",2018,True
151,Saturday Night Live,"Supporting Actress, Comedy",2018,False
152,GLOW,"Supporting Actress, Comedy",2018,False
153,Saturday Night Live,"Supporting Actress, Comedy",2018,False
154,Saturday Night Live,"Supporting Actress, Comedy",2018,False
155,Roseanne,"Supporting Actress, Comedy",2018,False
156,Will & Grace,"Supporting Actress, Comedy",2018,False
157,Baskets,"Supporting Actor, Comedy",2018,False
158,Saturday Night Live,"Supporting Actor, Comedy",2018,False
159,Unbreakable Kimmy Schmidt,"Supporting Actor, Comedy",2018,False
160,Atlanta,"Supporting Actor, Comedy",2018,False
161,The Marvelous Mrs. Maisel,"Supporting Actor, Comedy",2018,False
162,Saturday Night Live,"Supporting Actor, Comedy",2018,False
163,Barry,"Supporting Actor, Comedy",2018,True
