index,id,label,parents,values
124,cbs-thebigbangtheory,the big bang theory,channel-cbs,2
125,netflix-bloodline,bloodline,channel-netflix,2
126,fx-betterthings,better things,channel-fx,2
127,netflix-bodyguard,bodyguard,channel-netflix,2
128,fox-tracyullmanshow,tracy ullman show,channel-fox,2
129,comedycentral-insideamyschumer,inside amy schumer,channel-comedy central,2
130,hbo-confirmation,confirmation,channel-hbo,2
131,trutv-athomewithamysedaris,at home with amy sedaris,channel-trutv,2
132,bbc-orphanblack,orphan black,channel-bbc,2
133,hulu-thegreat,the great,channel-hulu,2
134,ifc-documentarynow!,documentary now!,channel-ifc,2
135,hbo-gettingon,getting on,channel-hbo,2
136,netflix-nailedit!,nailed it!,channel-netflix,2
137,showtime-twinpeaks,twin peaks,channel-showtime,2
138,comedycentral-key&peele,key & peele,channel-comedy central,2
139,nbc-brooklynnine-nine,brooklyn nine-nine,channel-nbc,2
140,lifetime-unreal,unreal,channel-lifetime,2
141,hbo-realtimewithbillmaher,real time with bill maher,channel-hbo,2
142,bbc-luther,luther,channel-bbc,2
143,netflix-stevemartin&martinshort:aneveningyouwi...,steve martin & martin short: an evening you wi...,channel-netflix,2
144,hulu-theact,the act,channel-hulu,2
145,hbo-mydinnerwithhervé,my dinner with hervé,channel-hbo,1
146,cbs-thegoodwife,the good wife,channel-cbs,1
147,hulu-triumph’selectionspecial2016,triumph’s election special 2016,channel-hulu,1
148,hbo-michellewolf:nicelady,michelle wolf: nice lady,channel-hbo,1
149,netflix-averymurraychristmas,a very murray christmas,channel-netflix,1
150,hbo-thetale,the tale,channel-hbo,1
151,netflix-sevenseconds,seven seconds,channel-netflix,1
152,netflix-americanvandal,american vandal,channel-netflix,1
153,fox-themaskedsinger,the masked singer,channel-fox,1
154,hbo-iknowthismuchistrue,i know this much is true,channel-hbo,1
155,netflix-davechappelle:equanimity,dave chappelle: equanimity,channel-netflix,1
156,abc-dancingwiththestars,dancing with the stars,channel-abc,1
157,netflix-selfmade,self made,channel-netflix,1
158,paramountnetwork-waco,waco,channel-paramount network,1
159,amazonstudios-kinglear,king lear,channel-amazon studios,1
160,fox-grease:live!,grease: live!,channel-fox,1
161,nbc-law&ordertruecrime:themenendezmurders,law & order true crime: the menendez murders,channel-nbc,1
162,showtime-theaffair,the affair,channel-showtime,1
163,abc-theoscars,the oscars,channel-abc,1
164,hbo-deadwood:themovie,deadwood: the movie,channel-hbo,1
165,cbs-thekennedycenterhonors,the kennedy center honors,channel-cbs,1
166,hbo-euphoria,euphoria,channel-hbo,1
167,nbc-superbowlliihalftimeshowstarringjustint...,super bowl lii halftime show starring justin t...,channel-nbc,1
168,tnt-thealienist,the alienist,channel-tnt,1
169,fox-thelastmanonearth,the last man on earth,channel-fox,1
170,showtime-whoisamerica?,who is america?,channel-showtime,1
171,hulu-loveyouamerica,love you america,channel-hulu,1
172,abc-Roseanne,Roseanne,channel-abc,1
173,hbo-lemonade,lemonade,channel-hbo,1
174,netflix-orangeisthenewblack,orange is the new black,channel-netflix,1
175,hbo-tignotaro:boyishgirlinterrupted,tig notaro: boyish girl interrupted,channel-hbo,1
176,netflix-pattonoswalt:talkingforclapping,patton oswalt: talking for clapping,channel-netflix,1
177,hbo-theimmortallifeofhenriettalacks,the immortal life of henrietta lacks,channel-hbo,1
178,nbc-thetonightshowstarringjimmyfallon,the tonight show starring jimmy fallon,channel-nbc,1
179,nbc-latenightwithsethmeyers,late night with seth meyers,channel-nbc,1
180,hbo-paterno,paterno,channel-hbo,1
181,nbc-dollyparton’schristmasofmanycolors,dolly parton’s christmas of many colors,channel-nbc,1
182,nbc-adeleliveinnewyorkcity,adele live in new york city,channel-nbc,1
183,amazonstudios-catastrophe,catastrophe,channel-amazon studios,1
184,disney+-themandalorian,the mandalorian,channel-disney+,1
185,usa-thesinner,the sinner,channel-usa,1
186,ifc-documentarynow,documentary now,channel-ifc,1
187,fox-empire,empire,channel-fox,1
188,hbo-brexit,brexit,channel-hbo,1
189,a&e-roots,roots,channel-a&e,1
190,netflix-comediansincarsgettingcoffee,comedians in cars getting coffee,channel-netflix,1
191,hbo-truedetective,true detective,channel-hbo,1
192,cbs-58thgrammyawards,58th grammy awards,channel-cbs,1
193,hbo-ladydayatemerson’sbarandgrill,lady day at emerson’s bar and grill,channel-hbo,1
194,netflix-pattonoswalt:annihilation,patton oswalt: annihilation,channel-netflix,1
195,trutv-billyonthestreet,billy on the street,channel-trutv,1
196,hulu-iloveyouamericawithsarahsilverman,i love you america with sarah silverman,channel-hulu,1
197,hbo-badeducation,bad education,channel-hbo,1
198,hulu-pen15,pen15,channel-hulu,1
199,cinemax-theknick,the knick,channel-cinemax,1
200,netflix-jerryseinfeld:jerrybeforeseinfeld,jerry seinfeld: jerry before seinfeld,channel-netflix,1
